id,csdbId,name,status,category,subcategory,address
Csdb__ScamDomains__849ae8,849ae8,zclassiccoins.com,,Scamming,Trust-Trading,0xe87d279d090df4ba19c0e19958d9ac61be5c6909
Csdb__ScamDomains__72040b,72040b,musk.vu,,Scamming,Trust-Trading,0x804A67880F461c2ba4b927a10E99E371962B0F3f
Csdb__ScamDomains__e5d244,e5d244,ethairdrop.live,,Scamming,Trust-Trading,0x7a16a0Fd441A7591f2456c3cDA068e33c6bBaa96
Csdb__ScamDomains__9886ed,9886ed,quarkchain-presale.io,,Phishing,Quarkchain,0x05e18136F048d648eE73Dd5D269d590Ff2873C33
Csdb__ScamDomains__9e103f,9e103f,5000ethereum.online,,Scamming,Trust-Trading,0xa5e83199a7ECB6669064d492F15ddC096b6cbAb8
Csdb__ScamDomains__2604c1,2604c1,hederahashgaph.com,,Phishing,HederaHashGraph,0x873a35F651892AEe1D9360be80ae904f7D76068f
Csdb__ScamDomains__e5627d,e5627d,5000-eth.paperplane.io,,Scamming,Trust-Trading,0x1691B2F9986598E12C57Aba5bE50ebd5346247E0
Csdb__ScamDomains__c5b7ba,c5b7ba,eth-giveaway.today,,Scamming,Trust-Trading,0x3F2cf669C657316985B01b1B797cb259c97d6551
Csdb__ScamDomains__faf228,faf228,etherget.online,,Scamming,Trust-Trading,0xa8afa9a714e06b9eb1b500617494ac213f2d428a
Csdb__ScamDomains__6bbf87,6bbf87,ethplatform.org,,Scamming,Trust-Trading,0x54B623C82365ef20680B17301bD949BcD5599Eb9
Csdb__ScamDomains__bb00b5,bb00b5,mycrypton.net,,Scamming,Trust-Trading,0x7eD44f8b304cD71664Cbe8C94614660859Fca2c6
Csdb__ScamDomains__1ac50a,1ac50a,quarkchains.io,,Phishing,Quarkchain,0xd7bb68B0cE5893983e5a2511b87E083609eB6fF9
Csdb__ScamDomains__94a23d,94a23d,ethcollection.paperplane.io,,Scamming,Trust-Trading,0xc8a7eFA8FF219CF002081c10c47F1D5F62b3FEe5
Csdb__ScamDomains__9fde81,9fde81,eth-airdrop.com,,Scamming,Trust-Trading,0x8a8869a8B53573294B0E03820253607D5528679d
Csdb__ScamDomains__05aba1,05aba1,ether-promo.unas.cz,,Scamming,Trust-Trading,0xd5e846494df899e0d7ea5e628501dfe420d2643b
Csdb__ScamDomains__a1470e,a1470e,transfer.saferpayeth.com,,Scamming,Trust-Trading,0x0f4CF489C65f5001843C525e1f374768DCAD9B99
Csdb__ScamDomains__20d662,20d662,cryptofaze.com,,Scamming,Trust-Trading,0x5e1f89284b8283edcd082901b78c7589f39d5b51
