id,csdbId,name,status,category,subcategory,address
Csdb__ScamDomains__461751,461751,mycrypto.ga,,Phishing,WebWallet,
Csdb__ScamDomains__b73b26,b73b26,elonmusk.financial,,Scamming,Trust-Trading,
Csdb__ScamDomains__4e9531,4e9531,ethereum-promo.site,,Scamming,Trust-Trading,
Csdb__ScamDomains__e6e2c2,e6e2c2,giveaway.revproject.site,,Scamming,Trust-Trading,
Csdb__ScamDomains__ca8b82,ca8b82,metarnask.io,,Phishing,Metamask,
Csdb__ScamDomains__1e4e3f,1e4e3f,mycrypto.ml,,Phishing,WebWallet,
Csdb__ScamDomains__0a8b3b,0a8b3b,myetherwallet.keynasty.com,,Phishing,MyEtherWallet,
Csdb__ScamDomains__d9438f,d9438f,bitgen.pro,,Scamming,Trust-Trading,
Csdb__ScamDomains__ad8d61,ad8d61,tesla.bz,,Scamming,Trust-Trading,
Csdb__ScamDomains__3d3323,3d3323,etcwallet.net,,Phishing,Wallet,
Csdb__ScamDomains__9714c0,9714c0,mastercoin.top,,Scamming,Miner,
Csdb__ScamDomains__513920,513920,halfbit.cc,,Scamming,Ponzi,
Csdb__ScamDomains__496579,496579,bitcoinbonuswallet.com,,Scamming,WebWallet,
Csdb__ScamDomains__2afb9b,2afb9b,royal-crypto.cc,,Scamming,Exchange,
Csdb__ScamDomains__33a186,33a186,etherscanner.ml,,Scamming,Trust-Trading,
Csdb__ScamDomains__7765e7,7765e7,wozdrop.me,,Scamming,Trust-Trading,
Csdb__ScamDomains__61814c,61814c,yaubit.com,,Scamming,Exchange,
Csdb__ScamDomains__796c05,796c05,tony-btc.info,,Scamming,Trust-Trading,
Csdb__ScamDomains__d7b93b,d7b93b,dentacoins.com,,Scamming,Exchange,
Csdb__ScamDomains__89236b,89236b,laubit.com,,Scamming,Exchange,
Csdb__ScamDomains__fbefac,fbefac,profitmusk.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__a9554b,a9554b,elonsave.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__0efa5a,0efa5a,max-maicoin-claimbonusbtc.000webhostapp.com,,Phishing,MAX,
Csdb__ScamDomains__cb8b57,cb8b57,vaubit.com,,Scamming,Exchange,
Csdb__ScamDomains__092fa7,092fa7,dave-btc.info,,Scamming,Trust-Trading,
Csdb__ScamDomains__68c4a6,68c4a6,stevebtc.org,,Scamming,Trust-Trading,
Csdb__ScamDomains__1797cb,1797cb,cham-btc.info,,Scamming,Trust-Trading,
Csdb__ScamDomains__0d341b,0d341b,pantera.ltd,,Scamming,Trust-Trading,
Csdb__ScamDomains__fdbc6e,fdbc6e,xiaomibtc.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__850ffa,850ffa,found-bin.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__53b798,53b798,bitcoinmix.org,,Scamming,Mixer,
Csdb__ScamDomains__58a439,58a439,tslamusk.me,,Scamming,Trust-Trading,
Csdb__ScamDomains__7ccf3e,7ccf3e,roberteth.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__c01867,c01867,chambtc.org,,Scamming,Trust-Trading,
Csdb__ScamDomains__e50b77,e50b77,tslabtc.me,,Scamming,Trust-Trading,
Csdb__ScamDomains__46b1b7,46b1b7,get3tesla.space,,Scamming,Trust-Trading,
Csdb__ScamDomains__bd40d3,bd40d3,winkbtc.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__e1641a,e1641a,brinbtc.org,,Scamming,Trust-Trading,
Csdb__ScamDomains__bfdc8a,bfdc8a,xrp.claims,,Scamming,Trust-Trading,
Csdb__ScamDomains__6cb55d,6cb55d,takexrp.live,,Scamming,Trust-Trading,
Csdb__ScamDomains__aa36e8,aa36e8,xrpdrop.me,,Scamming,Trust-Trading,
Csdb__ScamDomains__fd6a42,fd6a42,xrp.work,,Scamming,Trust-Trading,
Csdb__ScamDomains__9e5467,9e5467,brinbtc.net,,Scamming,Trust-Trading,
Csdb__ScamDomains__beefef,beefef,xrp20.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__ff678d,ff678d,jackmabtc.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__b80191,b80191,robertki.org,,Scamming,Trust-Trading,
Csdb__ScamDomains__c52e64,c52e64,gates.promo,,Scamming,Trust-Trading,
Csdb__ScamDomains__083158,083158,topxrp.com,,Scamming,Trust-Trading,
Csdb__ScamDomains__f92eb5,f92eb5,xrpclaim.org,,Scamming,Trust-Trading,
Csdb__ScamDomains__a0cd81,a0cd81,xrptake.live,,Scamming,Trust-Trading,
Csdb__ScamDomains__4081b0,4081b0,2020xrp.org,,Scamming,Trust-Trading,
